filename,error,timestamp
2507.21090.pdf,'list' object is not a mapping,2026-03-15 13:46:59
2506.12099.pdf,'list' object is not a mapping,2026-03-15 13:47:12
2508.08926.pdf,'list' object is not a mapping,2026-03-15 13:48:59
2111.07188.pdf,'list' object is not a mapping,2026-03-15 13:49:18
2503.03039.pdf,'list' object is not a mapping,2026-03-15 13:49:24
2311.12435.pdf,'list' object is not a mapping,2026-03-15 13:50:43
2112.09301.pdf,'list' object is not a mapping,2026-03-15 13:52:25
2403.03357.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-15 13:53:03
2311.03348.pdf,'list' object is not a mapping,2026-03-15 13:55:21
2411.10480.pdf,'list' object is not a mapping,2026-03-15 13:55:54
2506.04250.pdf,'list' object is not a mapping,2026-03-15 13:55:57
2509.10078.pdf,'list' object is not a mapping,2026-03-15 13:56:17
2409.15361.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-15 13:56:18
2407.12620.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-15 13:56:22
2511.07304.pdf,'list' object is not a mapping,2026-03-15 13:59:17
2506.21463.pdf,'list' object is not a mapping,2026-03-15 13:59:32
2402.17671.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-15 13:59:32
2512.08946.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-15 14:00:07
2508.17674.pdf,'list' object is not a mapping,2026-03-15 14:00:41
2403.08035.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-15 14:00:43
2305.13516.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-15 14:01:06
2407.21004.pdf,'list' object is not a mapping,2026-03-15 14:01:24
2311.09433.pdf,'list' object is not a mapping,2026-03-15 14:02:01
2601.06092.pdf,'list' object is not a mapping,2026-03-15 14:02:05
2410.20130.pdf,'list' object is not a mapping,2026-03-15 14:02:32
2212.00857.pdf,'list' object is not a mapping,2026-03-15 14:02:48
2502.05223.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-15 14:02:55
2406.03805.pdf,'list' object is not a mapping,2026-03-15 14:02:56
2305.06159.pdf,'list' object is not a mapping,2026-03-15 14:03:00
2111.00981.pdf,'list' object is not a mapping,2026-03-15 14:04:48
2403.19713.pdf,'list' object is not a mapping,2026-03-15 14:04:54
2511.15732.pdf,'list' object is not a mapping,2026-03-15 14:05:04
2502.09642.pdf,'list' object is not a mapping,2026-03-15 14:07:06
2307.10337.pdf,'list' object is not a mapping,2026-03-15 14:07:44
